Survey Report



Survey ID,1,Survey Name,kth 13
Created,12/05/16 10:50:59,Modified,12/05/16 10:50:59
Location,,Survey Run On,12/05/16 10:51:15
Operator,,Customer,
Tool,PeeWee,"Serial nr.",8520

"Mag.Decl.",0
Northing,"0.00"
Easting,"0.00"
Elevation,"0.00"

Recorded Data:

Depth,"Az.","Incl.","North.","East.","Elev.","G.Tf.","G.Vec.","Mag.Tf.","Mag.Vec.","Mag.Dip.","Bat.","Temp."
"0.0","267.27","-84.17","0.00","0.00","0.00","142.59","9.79","55.46",41719,"43.83","6.8","17.3"
"10.0","338.71","-85.89","0.31","-0.64","-9.96","83.89","9.79","56.60",51434,"-72.37","6.9","17.3"
"20.0","332.57","-85.78","0.97","-0.94","-19.93","11.00","9.79","335.26",50877,"-73.26","6.8","17.1"
"30.0","328.33","-85.72","1.61","-1.30","-29.91","227.40","9.79","187.15",51250,"-71.92","6.8","16.6"
"40.0","341.06","-85.63","2.29","-1.62","-39.88","144.21","9.61","119.72",51721,"-71.70","6.9","16.6"
"50.0","338.90","-85.87","2.99","-1.88","-49.85","143.68","9.99","116.66",51997,"-72.24","6.9","15.2"
"60.0","331.58","-85.45","3.67","-2.19","-59.82","337.44","9.79","299.56",51514,"-73.32","6.9","14.3"
"70.0","343.06","-84.88","4.45","-2.51","-69.79","56.76","8.50","33.28",51536,"-72.46","6.8","13.6"
"80.0","333.21","-85.50","5.23","-2.82","-79.75","204.92","9.74","170.07",51980,"-72.10","6.9","12.6"
"90.0","329.70","-85.13","5.94","-3.21","-89.72","275.46","9.78","234.75",51720,"-72.79","6.9","11.5"
"100.0","336.96","-84.90","6.72","-3.60","-99.68","159.80","9.42","128.59",51856,"-71.82","6.9","11.0"
"110.0","336.40","-85.23","7.51","-3.94","-109.64","82.78","10.30","50.55",51885,"-73.35","6.9","10.3"
"120.0","330.83","-84.62","8.30","-4.33","-119.60","204.08","9.88","164.22",51891,"-71.81","6.8","9.8"
"130.0","335.73","-84.50","9.14","-4.76","-129.56","7.83","9.78","332.74",51589,"-73.43","6.8","9.6"
"140.0","340.89","-84.86","10.00","-5.10","-139.52","7.94","9.78","340.84",51574,"-73.44","6.8","9.4"
"150.0","343.19","-85.02","10.84","-5.37","-149.48","150.05","9.78","127.21",51822,"-71.97","6.9","9.1"
"160.0","343.18","-84.75","11.70","-5.63","-159.44","170.92","9.78","147.69",51880,"-71.85","6.8","9.1"
"170.0","341.09","-84.39","12.60","-5.92","-169.39","206.47","9.78","179.61",51869,"-72.03","6.8","9.1"
"180.0","341.36","-84.25","13.53","-6.24","-179.34","202.86","9.78","176.17",51855,"-71.94","6.8","9.1"
"190.0","350.34","-84.52","14.48","-6.48","-189.29","51.35","9.78","37.25",51619,"-73.04","6.8","9.1"
"200.0","346.79","-84.41","15.42","-6.67","-199.25","286.16","9.78","266.85",51686,"-72.92","6.9","9.1"
"210.0","349.74","-84.57","16.36","-6.87","-209.20","302.40","9.78","287.47",51633,"-73.13","6.9","9.1"
"220.0","353.75","-84.53","17.30","-7.01","-219.16","11.41","9.78","2.20",51584,"-73.34","6.8","9.1"
"230.0","351.46","-84.76","18.23","-7.12","-229.11","4.35","9.78","352.01",51575,"-73.38","6.8","9.1"
"240.0","348.30","-84.82","19.12","-7.28","-239.07","162.68","9.78","146.52",51859,"-71.85","6.8","9.4"
"250.0","347.56","-84.81","20.00","-7.47","-249.03","150.15","9.78","132.96",51831,"-71.88","6.9","9.6"
"260.0","344.95","-85.10","20.86","-7.68","-258.99","146.47","9.78","126.11",51834,"-71.96","6.9","9.6"
"270.0","346.72","-85.17","21.68","-7.89","-268.96","127.04","9.78","109.13",51772,"-72.00","6.9","10.1"
"280.0","344.43","-85.66","22.45","-8.09","-278.92","133.74","9.78","113.49",51784,"-72.02","6.9","10.1"
"290.0","340.23","-85.88","23.16","-8.31","-288.90","96.95","9.78","71.47",51677,"-72.56","6.8","10.1"
"300.0","337.36","-85.81","23.83","-8.57","-298.87","98.36","9.78","69.12",51671,"-72.59","6.8","10.3"

"Depth in meter, azimuth in degrees, inclination in degrees, temperature in Celsius."
"DSM version 3.2.0.58 - File created 16/05/16 07:11:59"
