Survey Report



Survey ID,1,Survey Name, kth 6
Created,13/05/16 07:49:08,Modified,13/05/16 07:49:08
Location,,Survey Run On,13/05/16 07:49:23
Operator,,Customer,
Tool,PeeWee,"Serial nr.",8520

"Mag.Decl.",0
Northing,"0.00"
Easting,"0.00"
Elevation,"0.00"

Recorded Data:

Depth,"Az.","Incl.","North.","East.","Elev.","G.Tf.","G.Vec.","Mag.Tf.","Mag.Vec.","Mag.Dip.","Bat.","Temp."
"0.0","55.83","-86.17","0.00","0.00","0.00","126.09","9.78","184.20",9576,"-34.35","6.8","7.7"
"10.0","40.39","-85.67","0.47","0.52","-9.97","281.50","9.78","333.12",51112,"-72.96","6.8","7.7"
"20.0","87.22","-85.58","0.78","1.15","-19.95","215.73","9.40","320.78",51764,"-76.33","6.8","7.7"
"30.0","42.66","-85.89","1.06","1.78","-29.92","14.40","9.78","67.77",51299,"-72.66","6.8","8.0"
"40.0","38.40","-85.93","1.60","2.24","-39.89","324.58","9.78","13.15",51430,"-73.10","6.8","8.9"
"50.0","32.55","-85.95","2.18","2.65","-49.87","216.57","9.79","257.60",51578,"-72.38","6.9","12.9"
"60.0","33.72","-85.80","2.78","3.04","-59.84","136.72","9.79","179.20",51936,"-71.85","6.8","12.9"
"70.0","28.58","-85.58","3.43","3.43","-69.81","155.21","9.91","192.03",51900,"-71.94","6.8","12.9"
"80.0","33.44","-84.94","4.13","3.86","-79.78","315.38","9.79","1.53",51669,"-73.69","6.8","11.7"
"90.0","31.69","-84.80","4.89","4.34","-89.74","308.75","9.78","352.87",51576,"-73.48","6.8","11.2"
"100.0","31.28","-84.81","5.66","4.81","-99.70","311.66","9.78","355.33",51627,"-73.59","6.8","10.8"
"110.0","28.69","-84.74","6.45","5.27","-109.66","188.60","9.78","227.96",51791,"-72.35","6.8","10.1"
"120.0","29.39","-84.54","7.27","5.72","-119.61","164.82","9.78","205.56",51981,"-72.26","6.8","9.6"
"130.0","28.16","-84.33","8.12","6.19","-129.56","207.52","9.78","247.40",51774,"-72.46","6.9","9.6"
"140.0","30.98","-83.71","9.02","6.70","-139.51","183.33","9.78","228.61",51820,"-72.27","6.8","9.1"
"150.0","33.07","-83.63","9.95","7.29","-149.45","169.71","9.78","217.91",51808,"-72.17","6.8","9.1"
"160.0","35.34","-83.48","10.88","7.92","-159.39","164.78","9.87","216.66",51833,"-72.33","6.8","9.1"
"170.0","36.10","-83.35","11.81","8.59","-169.32","126.67","9.78","179.45",51912,"-71.94","6.8","9.1"
"180.0","36.18","-83.71","12.72","9.25","-179.26","242.97","10.00","296.46",51653,"-73.31","6.8","9.1"
"190.0","37.79","-83.48","13.61","9.93","-189.19","327.54","9.78","24.02",51606,"-73.34","6.8","9.1"
"200.0","38.88","-83.54","14.50","10.63","-199.13","57.28","9.78","113.55",51842,"-72.38","6.9","9.1"
"210.0","33.57","-83.66","15.40","11.29","-209.07","252.67","9.78","302.62",51626,"-73.11","6.8","9.1"
"220.0","35.92","-84.03","16.28","11.90","-219.01","156.51","9.94","207.20",51825,"-72.28","6.8","9.1"
"230.0","36.99","-83.97","17.12","12.52","-228.96","302.58","9.78","356.32",51601,"-73.42","6.8","9.1"
"240.0","41.37","-84.14","17.92","13.17","-238.90","339.87","9.78","38.27",51647,"-73.27","6.8","9.4"
"250.0","45.58","-84.61","18.64","13.84","-248.85","64.10","9.78","124.60",51853,"-72.20","6.8","9.6"
"260.0","45.93","-84.55","19.30","14.52","-258.81","45.76","9.78","107.13",51825,"-72.44","6.9","10.1"
"270.0","41.43","-84.37","19.99","15.19","-268.76","278.64","9.78","336.34",51573,"-73.33","6.8","9.8"
"280.0","45.90","-84.54","20.69","15.85","-278.71","343.92","9.78","46.16",51632,"-73.19","6.8","10.1"
"290.0","48.19","-84.77","21.33","16.53","-288.67","48.42","9.78","111.56",51807,"-72.33","6.9","10.1"
"300.0","41.92","-84.40","21.99","17.20","-298.63","199.87","9.78","257.06",51716,"-72.52","6.9","10.3"

"Depth in meter, azimuth in degrees, inclination in degrees, temperature in Celsius."
"DSM version 3.2.0.58 - File created 16/05/16 07:08:50"
